Year,FIPS,AgeGroup,MonthlyIncome,AverageRate,AveragePoints,County,MedianHousePrice,MonthlyMortgage,mortgage_income_ratio,affordable
2020,34001,25-44,5400.52940018342,3.62,0.7,Atlantic County,213953.0,1195.0933950455662,0.2212918968656993,Yes
2020,34001,25-44,5400.52940018342,3.47,0.7,Atlantic County,215292.0,1186.6617871112442,0.21973064104992024,Yes
2020,34001,25-44,5400.52940018342,3.45,0.7,Atlantic County,216287.0,1190.0268619799908,0.2203537419756614,Yes
2020,34001,25-44,5400.52940018342,3.31,0.7,Atlantic County,217516.0,1181.9501693378586,0.21885820477113144,Yes
2020,34001,25-44,5400.52940018342,3.23,0.7,Atlantic County,219130.0,1182.2420120525624,0.21891224442040988,Yes
2020,34001,25-44,5400.52940018342,3.16,0.8,Atlantic County,220783.0,1183.7242257123844,0.2191867015245174,Yes
2020,34001,25-44,5400.52940018342,3.02,0.8,Atlantic County,222832.0,1179.809504116457,0.21846182414568222,Yes
2020,34001,25-44,5400.52940018342,2.94,0.8,Atlantic County,225254.0,1184.0926838405303,0.2192549278225047,Yes
2020,34001,25-44,5400.52940018342,2.89,0.8,Atlantic County,229708.0,1202.0879831999475,0.22258706399397077,Yes
2020,34001,25-44,5400.52940018342,2.83,0.7,Atlantic County,235481.0,1225.6600544567552,0.22695183446554845,Yes
2020,34001,25-44,5400.52940018342,2.77,0.7,Atlantic County,240906.0,1247.1346213509714,0.23092821627979926,Yes
2020,34001,25-44,5400.52940018342,2.68,0.7,Atlantic County,245522.0,1260.7499966616265,0.23344933491498207,Yes
2020,34001,45-64,7261.166600734196,3.62,0.7,Atlantic County,213953.0,1195.0933950455662,0.16458696801209974,Yes
2020,34001,45-64,7261.166600734196,3.47,0.7,Atlantic County,215292.0,1186.6617871112442,0.163425776099292,Yes
2020,34001,45-64,7261.166600734196,3.45,0.7,Atlantic County,216287.0,1190.0268619799908,0.16388921056564987,Yes
2020,34001,45-64,7261.166600734196,3.31,0.7,Atlantic County,217516.0,1181.9501693378586,0.16277689720248925,Yes
2020,34001,45-64,7261.166600734196,3.23,0.7,Atlantic County,219130.0,1182.2420120525624,0.16281708946507611,Yes
2020,34001,45-64,7261.166600734196,3.16,0.8,Atlantic County,220783.0,1183.7242257123844,0.16302121832498578,Yes
2020,34001,45-64,7261.166600734196,3.02,0.8,Atlantic County,222832.0,1179.809504116457,0.16248208710665904,Yes
2020,34001,45-64,7261.166600734196,2.94,0.8,Atlantic County,225254.0,1184.0926838405303,0.1630719619793331,Yes
2020,34001,45-64,7261.166600734196,2.89,0.8,Atlantic County,229708.0,1202.0879831999475,0.16555025511718752,Yes
2020,34001,45-64,7261.166600734196,2.83,0.7,Atlantic County,235481.0,1225.6600544567552,0.16879657524079195,Yes
2020,34001,45-64,7261.166600734196,2.77,0.7,Atlantic County,240906.0,1247.1346213509714,0.17175402933529582,Yes
2020,34001,45-64,7261.166600734196,2.68,0.7,Atlantic County,245522.0,1260.7499966616265,0.17362912407685957,Yes
2020,34001,65-plus,3900.175417254453,3.62,0.7,Atlantic County,213953.0,1195.0933950455662,0.3064204214401356,No
2020,34001,65-plus,3900.175417254453,3.47,0.7,Atlantic County,215292.0,1186.6617871112442,0.3042585679252859,No
2020,34001,65-plus,3900.175417254453,3.45,0.7,Atlantic County,216287.0,1190.0268619799908,0.3051213688274862,No
2020,34001,65-plus,3900.175417254453,3.31,0.7,Atlantic County,217516.0,1181.9501693378586,0.30305051514064923,No
2020,34001,65-plus,3900.175417254453,3.23,0.7,Atlantic County,219130.0,1182.2420120525624,0.30312534324028106,No
2020,34001,65-plus,3900.175417254453,3.16,0.8,Atlantic County,220783.0,1183.7242257123844,0.30350538093121787,No
2020,34001,65-plus,3900.175417254453,3.02,0.8,Atlantic County,222832.0,1179.809504116457,0.3025016513095684,No
2020,34001,65-plus,3900.175417254453,2.94,0.8,Atlantic County,225254.0,1184.0926838405303,0.3035998531250879,No
2020,34001,65-plus,3900.175417254453,2.89,0.8,Atlantic County,229708.0,1202.0879831999475,0.30821382491717847,No
2020,34001,65-plus,3900.175417254453,2.83,0.7,Atlantic County,235481.0,1225.6600544567552,0.31425767390728404,No
2020,34001,65-plus,3900.175417254453,2.77,0.7,Atlantic County,240906.0,1247.1346213509714,0.31976372545543036,No
2020,34001,65-plus,3900.175417254453,2.68,0.7,Atlantic County,245522.0,1260.7499966616265,0.32325469031060594,No
2021,34001,25-44,5431.095149227092,2.74,0.7,Atlantic County,247179.0,1276.1512866504993,0.23497126299326765,Yes
2021,34001,25-44,5431.095149227092,2.81,0.7,Atlantic County,249246.0,1294.9703218634777,0.23843631648540847,Yes
2021,34001,25-44,5431.095149227092,3.08,0.7,Atlantic County,250145.0,1331.5697789202898,0.24517518885850997,Yes
2021,34001,25-44,5431.095149227092,3.06,0.7,Atlantic County,254570.0,1352.6965030214212,0.24906514539962085,Yes
2021,34001,25-44,5431.095149227092,2.96,0.7,Atlantic County,259613.0,1367.1631466963402,0.25172881511584333,No
2021,34001,25-44,5431.095149227092,2.98,0.7,Atlantic County,265996.0,1403.2965127808648,0.2583818685225152,No
2021,34001,25-44,5431.095149227092,2.87,0.7,Atlantic County,272666.0,1424.3260215424173,0.26225392529628494,No
2021,34001,25-44,5431.095149227092,2.84,0.7,Atlantic County,280710.0,1462.3900169475028,0.26926245568642226,No
2021,34001,25-44,5431.095149227092,2.9,0.7,Atlantic County,286597.0,1501.1445948383403,0.2763981395266055,No
2021,34001,25-44,5431.095149227092,3.07,0.7,Atlantic County,290096.0,1542.852477302693,0.284077600356948,No
2021,34001,25-44,5431.095149227092,3.07,0.7,Atlantic County,291523.0,1550.4418631787855,0.2854749954803188,No
2021,34001,25-44,5431.095149227092,3.1,0.6,Atlantic County,294593.0,1570.9891446222628,0.2892582621841624,No
2021,34001,45-64,7821.907485779057,2.74,0.7,Atlantic County,247179.0,1276.1512866504993,0.16315090519424563,Yes
2021,34001,45-64,7821.907485779057,2.81,0.7,Atlantic County,249246.0,1294.9703218634777,0.16555684456992775,Yes
2021,34001,45-64,7821.907485779057,3.08,0.7,Atlantic County,250145.0,1331.5697789202898,0.17023594070131937,Yes
2021,34001,45-64,7821.907485779057,3.06,0.7,Atlantic County,254570.0,1352.6965030214212,0.17293690899320238,Yes
2021,34001,45-64,7821.907485779057,2.96,0.7,Atlantic County,259613.0,1367.1631466963402,0.17478641228906985,Yes
2021,34001,45-64,7821.907485779057,2.98,0.7,Atlantic County,265996.0,1403.2965127808648,0.1794059205292553,Yes
2021,34001,45-64,7821.907485779057,2.87,0.7,Atlantic County,272666.0,1424.3260215424173,0.18209446022366949,Yes
2021,34001,45-64,7821.907485779057,2.84,0.7,Atlantic County,280710.0,1462.3900169475028,0.18696079180254452,Yes
2021,34001,45-64,7821.907485779057,2.9,0.7,Atlantic County,286597.0,1501.1445948383403,0.1919154116265832,Yes
2021,34001,45-64,7821.907485779057,3.07,0.7,Atlantic County,290096.0,1542.852477302693,0.19724759978403475,Yes
2021,34001,45-64,7821.907485779057,3.07,0.7,Atlantic County,291523.0,1550.4418631787855,0.19821787281396905,Yes
2021,34001,45-64,7821.907485779057,3.1,0.6,Atlantic County,294593.0,1570.9891446222628,0.20084476164905612,Yes
2021,34001,65-plus,4012.1304657036994,2.74,0.7,Atlantic County,247179.0,1276.1512866504993,0.318073227568055,No
2021,34001,65-plus,4012.1304657036994,2.81,0.7,Atlantic County,249246.0,1294.9703218634777,0.3227637617802015,No
2021,34001,65-plus,4012.1304657036994,3.08,0.7,Atlantic County,250145.0,1331.5697789202898,0.33188596191044895,No
